0,1,2,3
"[('11', '1', {'Sign': 1.0}), ('11', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '11')",1
"[('113', '1', {'Sign': 1.0}), ('113', '10', {'Sign': -1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '113')",0
"[('1', '10', {'Sign': 1.0}), ('1', '1167', {'Sign': 1.0}), ('10', '1167', {'Sign': 1.0})]",X,"('1', '10', '1167')",1
"[('117', '1', {'Sign': 1.0}), ('117', '10', {'Sign': -1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '117')",0
"[('1', '10', {'Sign': 1.0}), ('1', '118', {'Sign': 1.0}), ('10', '118', {'Sign': 1.0})]",X,"('1', '10', '118')",1
"[('1', '10', {'Sign': 1.0}), ('1', '1288', {'Sign': 1.0}), ('10', '1288', {'Sign': 1.0})]",X,"('1', '10', '1288')",1
"[('1', '10', {'Sign': 1.0}), ('1', '142', {'Sign': 1.0}), ('10', '142', {'Sign': 1.0})]",X,"('1', '10', '142')",1
"[('1', '10', {'Sign': 1.0}), ('1', '146', {'Sign': 1.0}), ('10', '146', {'Sign': 1.0})]",X,"('1', '10', '146')",1
"[('15', '1', {'Sign': 1.0}), ('15', '10', {'Sign': -1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '15')",0
"[('156', '1', {'Sign': 1.0}), ('156', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '156')",1
"[('1573', '1', {'Sign': 1.0}), ('1573', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '1573')",1
"[('1', '10', {'Sign': 1.0}), ('1', '161', {'Sign': 1.0}), ('10', '161', {'Sign': 1.0})]",X,"('1', '10', '161')",1
"[('17', '1', {'Sign': 1.0}), ('17', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '17')",1
"[('174', '1', {'Sign': 1.0}), ('174', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '174')",1
"[('1', '10', {'Sign': 1.0}), ('1', '175', {'Sign': 1.0}), ('10', '175', {'Sign': 1.0})]",X,"('1', '10', '175')",1
"[('179', '1', {'Sign': 1.0}), ('179', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '179')",1
"[('2', '1', {'Sign': 1.0}), ('2', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '2')",1
"[('2129', '1', {'Sign': 1.0}), ('2129', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '2129')",1
"[('1', '10', {'Sign': 1.0}), ('1', '22', {'Sign': 1.0}), ('10', '22', {'Sign': 1.0})]",X,"('1', '10', '22')",1
"[('1', '10', {'Sign': 1.0}), ('1', '222', {'Sign': 1.0}), ('10', '222', {'Sign': 1.0})]",X,"('1', '10', '222')",1
"[('1', '10', {'Sign': 1.0}), ('1', '249', {'Sign': 1.0}), ('10', '249', {'Sign': 1.0})]",X,"('1', '10', '249')",1
"[('1', '10', {'Sign': 1.0}), ('1', '258', {'Sign': 1.0}), ('10', '258', {'Sign': 1.0})]",X,"('1', '10', '258')",1
"[('1', '10', {'Sign': 1.0}), ('1', '259', {'Sign': 1.0}), ('10', '259', {'Sign': 1.0})]",X,"('1', '10', '259')",1
"[('1', '10', {'Sign': 1.0}), ('1', '29', {'Sign': 1.0}), ('10', '29', {'Sign': 1.0})]",X,"('1', '10', '29')",1
"[('1', '10', {'Sign': 1.0}), ('1', '296', {'Sign': 1.0}), ('10', '296', {'Sign': 1.0})]",X,"('1', '10', '296')",1
"[('1', '10', {'Sign': 1.0}), ('1', '347', {'Sign': 1.0}), ('10', '347', {'Sign': 1.0})]",X,"('1', '10', '347')",1
"[('1', '10', {'Sign': 1.0}), ('1', '37', {'Sign': 1.0}), ('10', '37', {'Sign': 1.0})]",X,"('1', '10', '37')",1
"[('4', '1', {'Sign': 1.0}), ('4', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '4')",1
"[('42', '1', {'Sign': 1.0}), ('42', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '42')",1
"[('1', '10', {'Sign': 1.0}), ('1', '44', {'Sign': 1.0}), ('10', '44', {'Sign': 1.0})]",X,"('1', '10', '44')",1
"[('454', '1', {'Sign': 1.0}), ('454', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '454')",1
"[('1', '10', {'Sign': 1.0}), ('1', '491', {'Sign': 1.0}), ('10', '491', {'Sign': 1.0})]",X,"('1', '10', '491')",1
"[('1', '10', {'Sign': 1.0}), ('1', '545', {'Sign': 1.0}), ('10', '545', {'Sign': 1.0})]",X,"('1', '10', '545')",1
"[('57', '1', {'Sign': 1.0}), ('57', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '57')",1
"[('58', '1', {'Sign': 1.0}), ('58', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '58')",1
"[('613', '1', {'Sign': 1.0}), ('613', '10', {'Sign': -1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '613')",0
"[('623', '1', {'Sign': 1.0}), ('623', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '623')",1
"[('67', '1', {'Sign': 1.0}), ('67', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '67')",1
"[('710', '1', {'Sign': 1.0}), ('710', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '710')",1
"[('725', '1', {'Sign': 1.0}), ('725', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '725')",1
"[('75', '1', {'Sign': 1.0}), ('75', '10', {'Sign': 1.0}), ('1', '10', {'Sign': 1.0})]",X,"('1', '10', '75')",1
"[('1', '10', {'Sign': 1.0}), ('1', '89', {'Sign': 1.0}), ('10', '89', {'Sign': 1.0})]",X,"('1', '10', '89')",1
"[('117', '1', {'Sign': 1.0}), ('117', '1025', {'Sign': 1.0}), ('1025', '1', {'Sign': 1.0})]",X,"('1', '1025', '117')",1
"[('156', '1', {'Sign': 1.0}), ('156', '1025', {'Sign': 1.0}), ('1025', '1', {'Sign': 1.0})]",X,"('1', '1025', '156')",1
"[('1025', '1', {'Sign': 1.0}), ('1025', '37', {'Sign': 1.0}), ('1', '37', {'Sign': 1.0})]",X,"('1', '1025', '37')",1
"[('4', '1', {'Sign': 1.0}), ('4', '1025', {'Sign': 1.0}), ('1025', '1', {'Sign': 1.0})]",X,"('1', '1025', '4')",1
"[('331', '1', {'Sign': 1.0}), ('331', '1029', {'Sign': 1.0}), ('1', '1029', {'Sign': 1.0})]",X,"('1', '1029', '331')",1
"[('11', '1', {'Sign': 1.0}), ('11', '1034', {'Sign': 1.0}), ('1034', '1', {'Sign': 1.0})]",X,"('1', '1034', '11')",1
"[('1043', '1', {'Sign': 1.0}), ('1043', '112', {'Sign': 1.0}), ('112', '1', {'Sign': 1.0})]",X,"('1', '1043', '112')",1
"[('1043', '1', {'Sign': 1.0}), ('1043', '116', {'Sign': 1.0}), ('1', '116', {'Sign': 1.0})]",X,"('1', '1043', '116')",1
"[('1043', '1', {'Sign': 1.0}), ('1043', '30', {'Sign': 1.0}), ('30', '1', {'Sign': 1.0})]",X,"('1', '1043', '30')",1
"[('1051', '1', {'Sign': 1.0}), ('1051', '124', {'Sign': 1.0}), ('1', '124', {'Sign': 1.0})]",X,"('1', '1051', '124')",1
"[('1051', '1', {'Sign': 1.0}), ('1051', '68', {'Sign': 1.0}), ('68', '1', {'Sign': 1.0})]",X,"('1', '1051', '68')",1
"[('373', '1', {'Sign': 1.0}), ('373', '1060', {'Sign': 1.0}), ('1', '1060', {'Sign': 1.0})]",X,"('1', '1060', '373')",1
"[('30', '1', {'Sign': 1.0}), ('30', '1063', {'Sign': 1.0}), ('1', '1063', {'Sign': 1.0})]",X,"('1', '1063', '30')",1
"[('1065', '1', {'Sign': 1.0}), ('1065', '290', {'Sign': 1.0}), ('1', '290', {'Sign': 1.0})]",X,"('1', '1065', '290')",1
"[('42', '1', {'Sign': 1.0}), ('42', '1065', {'Sign': 1.0}), ('1065', '1', {'Sign': 1.0})]",X,"('1', '1065', '42')",1
"[('1065', '1', {'Sign': 1.0}), ('1065', '95', {'Sign': 1.0}), ('1', '95', {'Sign': 1.0})]",X,"('1', '1065', '95')",1
"[('1', '1066', {'Sign': 1.0}), ('1', '1881', {'Sign': 1.0}), ('1066', '1881', {'Sign': 1.0})]",X,"('1', '1066', '1881')",1
"[('459', '1', {'Sign': 1.0}), ('459', '1066', {'Sign': 1.0}), ('1', '1066', {'Sign': 1.0})]",X,"('1', '1066', '459')",1
"[('11', '1', {'Sign': 1.0}), ('11', '116', {'Sign': 1.0}), ('1', '116', {'Sign': 1.0})]",X,"('1', '11', '116')",1
"[('11', '1', {'Sign': 1.0}), ('11', '123', {'Sign': 1.0}), ('123', '1', {'Sign': 1.0})]",X,"('1', '11', '123')",1
"[('11', '1', {'Sign': 1.0}), ('11', '124', {'Sign': 1.0}), ('1', '124', {'Sign': 1.0})]",X,"('1', '11', '124')",1
"[('11', '1', {'Sign': 1.0}), ('11', '1342', {'Sign': 1.0}), ('1', '1342', {'Sign': 1.0})]",X,"('1', '11', '1342')",1
"[('11', '1', {'Sign': 1.0}), ('11', '1493', {'Sign': 1.0}), ('1493', '1', {'Sign': 1.0})]",X,"('1', '11', '1493')",1
"[('11', '1', {'Sign': 1.0}), ('11', '15', {'Sign': 1.0}), ('15', '1', {'Sign': 1.0})]",X,"('1', '11', '15')",1
"[('11', '1', {'Sign': 1.0}), ('11', '154', {'Sign': 1.0}), ('154', '1', {'Sign': 1.0})]",X,"('1', '11', '154')",1
