from,to,weight
V1,V4,1
V1,V5,1
V1,V7,1
V1,V10,-1
V1,V15,-1
V1,V17,-1
V2,V3,1
V2,V7,-1
V2,V8,1
V2,V12,1
V2,V15,-1
V2,V17,-1
V3,V5,1
V3,V10,-1
V3,V11,-1
V3,V16,-1
V4,V1,1
V4,V5,1
V4,V10,-1
V4,V15,-1
V5,V4,1
V5,V6,-1
V5,V12,1
V5,V15,-1
V6,V3,-1
V6,V8,1
V6,V12,-1
V6,V17,-1
V7,V9,1
V7,V10,-1
V7,V14,1
V7,V17,1
V8,V2,1
V8,V12,1
V8,V14,-1
V8,V15,-1
V8,V17,-1
V9,V6,-1
V9,V7,1
V9,V10,1
V9,V12,1
V9,V15,-1
V10,V3,-1
V10,V9,1
V10,V13,-1
V10,V15,-1
V11,V2,1
V11,V3,-1
V11,V4,1
V11,V10,-1
V11,V15,-1
V11,V16,1
V12,V2,1
V12,V5,1
V12,V8,1
V12,V10,-1
V12,V15,-1
V12,V17,-1
V13,V8,1
V13,V9,1
V14,V2,1
V14,V3,-1
V14,V6,-1
V14,V7,1
V14,V9,-1
V14,V17,1
V15,V2,1
V15,V3,1
V15,V8,-1
V15,V13,1
V15,V17,-1
V16,V2,1
V16,V3,-1
V16,V4,1
V16,V11,1
V16,V14,-1
V16,V15,-1
V17,V2,1
V17,V3,-1
V17,V6,-1
V17,V7,1
V17,V10,-1
V17,V14,1
