from,to,weight
V1,V15,1
V2,V3,1
V2,V5,-1
V2,V6,-1
V2,V12,1
V2,V16,1
V3,V6,-1
V3,V7,1
V3,V9,-1
V3,V12,1
V4,V1,-1
V4,V8,-1
V4,V9,1
V4,V19,1
V5,V6,-1
V5,V8,1
V5,V9,-1
V5,V13,-1
V5,V15,1
V5,V18,1
V6,V8,-1
V6,V11,-1
V6,V12,-1
V6,V19,1
V7,V3,1
V7,V12,1
V7,V13,-1
V8,V6,-1
V8,V9,-1
V8,V15,1
V9,V3,-1
V9,V4,1
V9,V10,-1
V9,V13,1
V9,V15,-1
V9,V19,1
V10,V3,-1
V10,V4,1
V10,V6,1
V10,V11,-1
V10,V14,1
V10,V20,-1
V11,V3,1
V11,V6,-1
V11,V10,-1
V11,V13,-1
V11,V17,1
V12,V3,1
V12,V5,1
V12,V9,-1
V12,V13,-1
V13,V9,1
V13,V11,-1
V13,V12,-1
V13,V19,1
V14,V9,-1
V14,V13,-1
V14,V14,1
V15,V6,-1
V15,V9,-1
V15,V13,-1
V15,V14,1
V16,V2,1
V16,V4,-1
V16,V6,-1
V16,V7,1
V16,V12,1
V16,V15,-1
V17,V7,1
V17,V10,-1
V17,V11,1
V17,V12,1
V17,V13,-1
V18,V8,1
V19,V4,1
V19,V6,1
V19,V9,1
V19,V20,-1
V20,V1,1
V20,V2,1
V20,V17,-1
