From,To,Sign
1,2,1
1,3,-1
2,3,-1
1,4,-1
3,4,1
1,5,-1
2,5,-1
1,6,-1
2,6,-1
3,6,1
3,7,1
5,7,1
6,7,1
3,8,1
4,8,1
6,8,1
7,8,1
2,9,-1
5,9,1
6,9,-1
2,10,-1
9,10,1
6,11,1
7,11,1
8,11,1
9,11,-1
10,11,-1
1,12,-1
6,12,1
7,12,1
8,12,1
11,12,1
6,13,-1
7,13,1
9,13,1
10,13,1
11,13,-1
5,14,1
8,14,-1
12,14,-1
13,14,1
1,15,1
2,15,1
5,15,-1
9,15,-1
10,15,-1
11,15,-1
12,15,-1
13,15,-1
1,16,1
2,16,1
5,16,-1
6,16,-1
11,16,-1
12,16,-1
13,16,-1
14,16,-1
15,16,1
2,1,1
3,1,-1
3,2,-1
4,1,-1
4,3,1
5,1,-1
5,2,-1
6,1,-1
6,2,-1
6,3,1
7,3,1
7,5,1
7,6,1
8,3,1
8,4,1
8,6,1
8,7,1
9,2,-1
9,5,1
9,6,-1
10,2,-1
10,9,1
11,6,1
11,7,1
11,8,1
11,9,-1
11,10,-1
12,1,-1
12,6,1
12,7,1
12,8,1
12,11,1
13,6,-1
13,7,1
13,9,1
13,10,1
13,11,-1
14,5,1
14,8,-1
14,12,-1
14,13,1
15,1,1
15,2,1
15,5,-1
15,9,-1
15,10,-1
15,11,-1
15,12,-1
15,13,-1
16,1,1
16,2,1
16,5,-1
16,6,-1
16,11,-1
16,12,-1
16,13,-1
16,14,-1
16,15,1
