0,1,2,3
"[('V1', 'V10', {'weight': 1}), ('V1', 'V11', {'weight': 1}), ('V11', 'V10', {'weight': 1})]",X,"('V1', 'V10', 'V11')",1
"[('V1', 'V10', {'weight': 1}), ('V1', 'V6', {'weight': 1}), ('V6', 'V10', {'weight': 1})]",X,"('V1', 'V10', 'V6')",1
"[('V1', 'V11', {'weight': 1}), ('V1', 'V20', {'weight': -1}), ('V20', 'V11', {'weight': 1})]",X,"('V1', 'V11', 'V20')",0
"[('V1', 'V11', {'weight': 1}), ('V1', 'V6', {'weight': 1}), ('V6', 'V11', {'weight': 1})]",X,"('V1', 'V11', 'V6')",1
"[('V17', 'V1', {'weight': 1}), ('V17', 'V20', {'weight': -1}), ('V1', 'V20', {'weight': -1})]",X,"('V1', 'V17', 'V20')",1
"[('V2', 'V1', {'weight': 1}), ('V2', 'V20', {'weight': -1}), ('V1', 'V20', {'weight': -1})]",X,"('V1', 'V2', 'V20')",1
"[('V2', 'V1', {'weight': 1}), ('V2', 'V6', {'weight': 1}), ('V1', 'V6', {'weight': 1})]",X,"('V1', 'V2', 'V6')",1
"[('V1', 'V20', {'weight': -1}), ('V1', 'V6', {'weight': 1}), ('V20', 'V6', {'weight': -1})]",X,"('V1', 'V20', 'V6')",1
"[('V11', 'V10', {'weight': 1}), ('V11', 'V6', {'weight': 1}), ('V10', 'V6', {'weight': 1})]",X,"('V10', 'V11', 'V6')",1
"[('V12', 'V10', {'weight': -1}), ('V12', 'V11', {'weight': 1}), ('V11', 'V10', {'weight': 1})]",X,"('V10', 'V11', 'V12')",0
"[('V12', 'V10', {'weight': -1}), ('V12', 'V6', {'weight': -1}), ('V6', 'V10', {'weight': 1})]",X,"('V10', 'V6', 'V12')",1
"[('V14', 'V10', {'weight': -1}), ('V14', 'V12', {'weight': 1}), ('V12', 'V10', {'weight': -1})]",X,"('V10', 'V12', 'V14')",1
"[('V14', 'V10', {'weight': -1}), ('V14', 'V19', {'weight': -1}), ('V10', 'V19', {'weight': -1})]",X,"('V10', 'V14', 'V19')",0
"[('V20', 'V11', {'weight': 1}), ('V20', 'V6', {'weight': -1}), ('V6', 'V11', {'weight': 1})]",X,"('V11', 'V20', 'V6')",0
"[('V20', 'V11', {'weight': 1}), ('V20', 'V12', {'weight': 1}), ('V12', 'V11', {'weight': 1})]",X,"('V11', 'V20', 'V12')",1
"[('V15', 'V11', {'weight': -1}), ('V15', 'V20', {'weight': -1}), ('V20', 'V11', {'weight': 1})]",X,"('V11', 'V20', 'V15')",1
"[('V12', 'V11', {'weight': 1}), ('V12', 'V6', {'weight': -1}), ('V6', 'V11', {'weight': 1})]",X,"('V11', 'V6', 'V12')",0
"[('V15', 'V11', {'weight': -1}), ('V15', 'V12', {'weight': -1}), ('V12', 'V11', {'weight': 1})]",X,"('V11', 'V12', 'V15')",1
"[('V17', 'V15', {'weight': -1}), ('V17', 'V20', {'weight': -1}), ('V15', 'V20', {'weight': -1})]",X,"('V17', 'V20', 'V15')",0
"[('V17', 'V16', {'weight': 1}), ('V17', 'V20', {'weight': -1}), ('V16', 'V20', {'weight': -1})]",X,"('V17', 'V20', 'V16')",1
"[('V17', 'V20', {'weight': -1}), ('V17', 'V5', {'weight': 1}), ('V20', 'V5', {'weight': -1})]",X,"('V17', 'V20', 'V5')",1
"[('V17', 'V15', {'weight': -1}), ('V17', 'V3', {'weight': -1}), ('V15', 'V3', {'weight': -1})]",X,"('V17', 'V15', 'V3')",0
"[('V17', 'V15', {'weight': -1}), ('V17', 'V4', {'weight': 1}), ('V15', 'V4', {'weight': -1})]",X,"('V17', 'V15', 'V4')",1
"[('V17', 'V15', {'weight': -1}), ('V17', 'V21', {'weight': -1}), ('V15', 'V21', {'weight': 1})]",X,"('V17', 'V15', 'V21')",1
"[('V17', 'V15', {'weight': -1}), ('V17', 'V7', {'weight': -1}), ('V15', 'V7', {'weight': 1})]",X,"('V17', 'V15', 'V7')",1
"[('V17', 'V15', {'weight': -1}), ('V17', 'V8', {'weight': -1}), ('V15', 'V8', {'weight': 1})]",X,"('V17', 'V15', 'V8')",1
"[('V17', 'V16', {'weight': 1}), ('V17', 'V5', {'weight': 1}), ('V16', 'V5', {'weight': 1})]",X,"('V17', 'V16', 'V5')",1
"[('V17', 'V13', {'weight': 1}), ('V17', 'V16', {'weight': 1}), ('V16', 'V13', {'weight': 1})]",X,"('V17', 'V16', 'V13')",1
"[('V17', 'V3', {'weight': -1}), ('V17', 'V4', {'weight': 1}), ('V4', 'V3', {'weight': -1})]",X,"('V17', 'V3', 'V4')",1
"[('V17', 'V13', {'weight': 1}), ('V17', 'V3', {'weight': -1}), ('V13', 'V3', {'weight': -1})]",X,"('V17', 'V3', 'V13')",1
"[('V17', 'V4', {'weight': 1}), ('V17', 'V5', {'weight': 1}), ('V4', 'V5', {'weight': 1})]",X,"('V17', 'V4', 'V5')",1
"[('V17', 'V13', {'weight': 1}), ('V17', 'V4', {'weight': 1}), ('V4', 'V13', {'weight': 1})]",X,"('V17', 'V4', 'V13')",1
"[('V17', 'V4', {'weight': 1}), ('V17', 'V8', {'weight': -1}), ('V4', 'V8', {'weight': -1})]",X,"('V17', 'V4', 'V8')",1
"[('V17', 'V13', {'weight': 1}), ('V17', 'V5', {'weight': 1}), ('V13', 'V5', {'weight': 1})]",X,"('V17', 'V5', 'V13')",1
"[('V17', 'V21', {'weight': -1}), ('V17', 'V7', {'weight': -1}), ('V21', 'V7', {'weight': 1})]",X,"('V17', 'V21', 'V7')",1
"[('V17', 'V21', {'weight': -1}), ('V17', 'V8', {'weight': -1}), ('V21', 'V8', {'weight': 1})]",X,"('V17', 'V21', 'V8')",1
"[('V17', 'V7', {'weight': -1}), ('V17', 'V8', {'weight': -1}), ('V7', 'V8', {'weight': 1})]",X,"('V17', 'V7', 'V8')",1
"[('V2', 'V20', {'weight': -1}), ('V2', 'V6', {'weight': 1}), ('V20', 'V6', {'weight': -1})]",X,"('V2', 'V20', 'V6')",1
