0,1,2,3
"[('V10', 'V15', {'weight': -1}), ('V1', 'V10', {'weight': -1}), ('V1', 'V15', {'weight': -1})]",030T,"{'V1', 'V10', 'V15'}",0.0
"[('V1', 'V10', {'weight': -1}), ('V1', 'V17', {'weight': -1}), ('V17', 'V10', {'weight': -1})]",030T,"{'V10', 'V1', 'V17'}",0.0
"[('V1', 'V10', {'weight': -1}), ('V1', 'V4', {'weight': 1}), ('V4', 'V1', {'weight': 1}), ('V4', 'V10', {'weight': -1})]",120U,"{'V10', 'V1', 'V4'}",1.0
"[('V1', 'V10', {'weight': -1}), ('V1', 'V7', {'weight': 1}), ('V7', 'V10', {'weight': -1})]",030T,"{'V10', 'V1', 'V7'}",1.0
"[('V1', 'V15', {'weight': -1}), ('V1', 'V17', {'weight': -1}), ('V15', 'V17', {'weight': -1})]",030T,"{'V1', 'V15', 'V17'}",0.0
"[('V1', 'V15', {'weight': -1}), ('V1', 'V4', {'weight': 1}), ('V4', 'V1', {'weight': 1}), ('V4', 'V15', {'weight': -1})]",120U,"{'V1', 'V15', 'V4'}",1.0
"[('V5', 'V15', {'weight': -1}), ('V1', 'V15', {'weight': -1}), ('V1', 'V5', {'weight': 1})]",030T,"{'V5', 'V1', 'V15'}",1.0
"[('V7', 'V17', {'weight': 1}), ('V1', 'V17', {'weight': -1}), ('V1', 'V7', {'weight': 1}), ('V17', 'V7', {'weight': 1})]",120D,"{'V1', 'V17', 'V7'}",0.0
"[('V10', 'V15', {'weight': -1}), ('V4', 'V10', {'weight': -1}), ('V4', 'V15', {'weight': -1})]",030T,"{'V10', 'V15', 'V4'}",0.0
"[('V10', 'V13', {'weight': -1}), ('V10', 'V15', {'weight': -1}), ('V15', 'V13', {'weight': 1})]",030T,"{'V13', 'V10', 'V15'}",1.0
"[('V9', 'V10', {'weight': 1}), ('V9', 'V15', {'weight': -1}), ('V10', 'V15', {'weight': -1}), ('V10', 'V9', {'weight': 1})]",120U,"{'V9', 'V10', 'V15'}",1.0
"[('V11', 'V10', {'weight': -1}), ('V11', 'V15', {'weight': -1}), ('V10', 'V15', {'weight': -1})]",030T,"{'V15', 'V10', 'V11'}",0.0
"[('V12', 'V10', {'weight': -1}), ('V12', 'V15', {'weight': -1}), ('V10', 'V15', {'weight': -1})]",030T,"{'V15', 'V10', 'V12'}",0.0
"[('V7', 'V10', {'weight': -1}), ('V7', 'V17', {'weight': 1}), ('V17', 'V10', {'weight': -1}), ('V17', 'V7', {'weight': 1})]",120U,"{'V10', 'V17', 'V7'}",1.0
"[('V10', 'V3', {'weight': -1}), ('V3', 'V10', {'weight': -1}), ('V17', 'V10', {'weight': -1}), ('V17', 'V3', {'weight': -1})]",120D,"{'V10', 'V3', 'V17'}",0.0
"[('V12', 'V10', {'weight': -1}), ('V12', 'V17', {'weight': -1}), ('V17', 'V10', {'weight': -1})]",030T,"{'V10', 'V12', 'V17'}",0.0
"[('V11', 'V10', {'weight': -1}), ('V11', 'V4', {'weight': 1}), ('V4', 'V10', {'weight': -1})]",030T,"{'V10', 'V11', 'V4'}",1.0
"[('V15', 'V17', {'weight': -1}), ('V15', 'V3', {'weight': 1}), ('V17', 'V3', {'weight': -1})]",030T,"{'V3', 'V15', 'V17'}",1.0
"[('V12', 'V15', {'weight': -1}), ('V12', 'V17', {'weight': -1}), ('V15', 'V17', {'weight': -1})]",030T,"{'V15', 'V12', 'V17'}",0.0
"[('V8', 'V15', {'weight': -1}), ('V8', 'V17', {'weight': -1}), ('V15', 'V17', {'weight': -1}), ('V15', 'V8', {'weight': -1})]",120U,"{'V8', 'V15', 'V17'}",0.0
"[('V5', 'V15', {'weight': -1}), ('V5', 'V4', {'weight': 1}), ('V4', 'V15', {'weight': -1}), ('V4', 'V5', {'weight': 1})]",120U,"{'V5', 'V15', 'V4'}",1.0
"[('V11', 'V15', {'weight': -1}), ('V11', 'V4', {'weight': 1}), ('V4', 'V15', {'weight': -1})]",030T,"{'V15', 'V11', 'V4'}",1.0
"[('V16', 'V15', {'weight': -1}), ('V16', 'V4', {'weight': 1}), ('V4', 'V15', {'weight': -1})]",030T,"{'V16', 'V15', 'V4'}",1.0
