0,1,2,3
"[('V10', 'V1', {'weight': -1}), ('V10', 'V15', {'weight': -1}), ('V1', 'V15', {'weight': -1})]",X,"('V1', 'V10', 'V15')",0
"[('V10', 'V1', {'weight': -1}), ('V10', 'V17', {'weight': -1}), ('V1', 'V17', {'weight': -1})]",X,"('V1', 'V10', 'V17')",0
"[('V10', 'V1', {'weight': -1}), ('V10', 'V4', {'weight': -1}), ('V1', 'V4', {'weight': 1})]",X,"('V1', 'V10', 'V4')",1
"[('V10', 'V1', {'weight': -1}), ('V10', 'V7', {'weight': -1}), ('V1', 'V7', {'weight': 1})]",X,"('V1', 'V10', 'V7')",1
"[('V1', 'V15', {'weight': -1}), ('V1', 'V17', {'weight': -1}), ('V15', 'V17', {'weight': -1})]",X,"('V1', 'V15', 'V17')",0
"[('V1', 'V15', {'weight': -1}), ('V1', 'V4', {'weight': 1}), ('V15', 'V4', {'weight': -1})]",X,"('V1', 'V15', 'V4')",1
"[('V5', 'V1', {'weight': 1}), ('V5', 'V15', {'weight': -1}), ('V1', 'V15', {'weight': -1})]",X,"('V1', 'V15', 'V5')",1
"[('V7', 'V1', {'weight': 1}), ('V7', 'V17', {'weight': 1}), ('V1', 'V17', {'weight': -1})]",X,"('V1', 'V17', 'V7')",0
"[('V5', 'V1', {'weight': 1}), ('V5', 'V4', {'weight': 1}), ('V1', 'V4', {'weight': 1})]",X,"('V1', 'V4', 'V5')",1
"[('V10', 'V15', {'weight': -1}), ('V10', 'V17', {'weight': -1}), ('V15', 'V17', {'weight': -1})]",X,"('V10', 'V15', 'V17')",0
"[('V10', 'V15', {'weight': -1}), ('V10', 'V4', {'weight': -1}), ('V15', 'V4', {'weight': -1})]",X,"('V10', 'V15', 'V4')",0
"[('V11', 'V10', {'weight': -1}), ('V11', 'V15', {'weight': -1}), ('V10', 'V15', {'weight': -1})]",X,"('V10', 'V15', 'V11')",0
"[('V12', 'V10', {'weight': -1}), ('V12', 'V15', {'weight': -1}), ('V10', 'V15', {'weight': -1})]",X,"('V10', 'V15', 'V12')",0
"[('V13', 'V10', {'weight': -1}), ('V13', 'V15', {'weight': 1}), ('V10', 'V15', {'weight': -1})]",X,"('V10', 'V15', 'V13')",1
"[('V3', 'V10', {'weight': -1}), ('V3', 'V15', {'weight': 1}), ('V10', 'V15', {'weight': -1})]",X,"('V10', 'V15', 'V3')",1
"[('V9', 'V10', {'weight': 1}), ('V9', 'V15', {'weight': -1}), ('V10', 'V15', {'weight': -1})]",X,"('V10', 'V15', 'V9')",1
"[('V7', 'V10', {'weight': -1}), ('V7', 'V17', {'weight': 1}), ('V10', 'V17', {'weight': -1})]",X,"('V10', 'V17', 'V7')",1
"[('V10', 'V12', {'weight': -1}), ('V10', 'V17', {'weight': -1}), ('V12', 'V17', {'weight': -1})]",X,"('V10', 'V17', 'V12')",0
"[('V10', 'V17', {'weight': -1}), ('V10', 'V3', {'weight': -1}), ('V3', 'V17', {'weight': -1})]",X,"('V10', 'V17', 'V3')",0
"[('V10', 'V11', {'weight': -1}), ('V10', 'V4', {'weight': -1}), ('V11', 'V4', {'weight': 1})]",X,"('V10', 'V4', 'V11')",1
"[('V9', 'V10', {'weight': 1}), ('V9', 'V7', {'weight': 1}), ('V10', 'V7', {'weight': -1})]",X,"('V10', 'V7', 'V9')",0
"[('V3', 'V10', {'weight': -1}), ('V3', 'V11', {'weight': -1}), ('V10', 'V11', {'weight': -1})]",X,"('V10', 'V11', 'V3')",0
"[('V9', 'V10', {'weight': 1}), ('V9', 'V12', {'weight': 1}), ('V10', 'V12', {'weight': -1})]",X,"('V10', 'V12', 'V9')",0
"[('V13', 'V10', {'weight': -1}), ('V13', 'V9', {'weight': 1}), ('V10', 'V9', {'weight': 1})]",X,"('V10', 'V13', 'V9')",0
"[('V12', 'V15', {'weight': -1}), ('V12', 'V17', {'weight': -1}), ('V15', 'V17', {'weight': -1})]",X,"('V15', 'V17', 'V12')",0
"[('V3', 'V15', {'weight': 1}), ('V3', 'V17', {'weight': -1}), ('V15', 'V17', {'weight': -1})]",X,"('V15', 'V17', 'V3')",1
"[('V8', 'V15', {'weight': -1}), ('V8', 'V17', {'weight': -1}), ('V15', 'V17', {'weight': -1})]",X,"('V15', 'V17', 'V8')",0
"[('V5', 'V15', {'weight': -1}), ('V5', 'V4', {'weight': 1}), ('V15', 'V4', {'weight': -1})]",X,"('V15', 'V4', 'V5')",1
"[('V11', 'V15', {'weight': -1}), ('V11', 'V4', {'weight': 1}), ('V15', 'V4', {'weight': -1})]",X,"('V15', 'V4', 'V11')",1
"[('V16', 'V15', {'weight': -1}), ('V16', 'V4', {'weight': 1}), ('V15', 'V4', {'weight': -1})]",X,"('V15', 'V4', 'V16')",1
"[('V5', 'V12', {'weight': 1}), ('V5', 'V15', {'weight': -1}), ('V12', 'V15', {'weight': -1})]",X,"('V15', 'V5', 'V12')",1
"[('V5', 'V15', {'weight': -1}), ('V5', 'V3', {'weight': 1}), ('V3', 'V15', {'weight': 1})]",X,"('V15', 'V5', 'V3')",0
"[('V11', 'V15', {'weight': -1}), ('V11', 'V3', {'weight': -1}), ('V3', 'V15', {'weight': 1})]",X,"('V15', 'V11', 'V3')",1
"[('V16', 'V11', {'weight': 1}), ('V16', 'V15', {'weight': -1}), ('V11', 'V15', {'weight': -1})]",X,"('V15', 'V11', 'V16')",1
"[('V9', 'V12', {'weight': 1}), ('V9', 'V15', {'weight': -1}), ('V12', 'V15', {'weight': -1})]",X,"('V15', 'V12', 'V9')",1
