0,1,2,3
"[('V14', 'V13', {'weight': -1}), ('V15', 'V13', {'weight': -1}), ('V15', 'V14', {'weight': 1})]",030T,"{'V15', 'V14', 'V13'}",1.0
"[('V15', 'V6', {'weight': -1}), ('V5', 'V15', {'weight': 1}), ('V5', 'V6', {'weight': -1})]",030T,"{'V6', 'V15', 'V5'}",1.0
"[('V16', 'V15', {'weight': -1}), ('V16', 'V6', {'weight': -1}), ('V15', 'V6', {'weight': -1})]",030T,"{'V6', 'V16', 'V15'}",0.0
"[('V5', 'V13', {'weight': -1}), ('V5', 'V15', {'weight': 1}), ('V15', 'V13', {'weight': -1})]",030T,"{'V13', 'V15', 'V5'}",1.0
"[('V9', 'V15', {'weight': -1}), ('V15', 'V9', {'weight': -1}), ('V5', 'V15', {'weight': 1}), ('V5', 'V9', {'weight': -1})]",120D,"{'V9', 'V15', 'V5'}",1.0
"[('V8', 'V15', {'weight': 1}), ('V5', 'V15', {'weight': 1}), ('V5', 'V8', {'weight': 1})]",030T,"{'V15', 'V8', 'V5'}",1.0
"[('V8', 'V15', {'weight': 1}), ('V8', 'V9', {'weight': -1}), ('V9', 'V15', {'weight': -1}), ('V15', 'V9', {'weight': -1})]",120D,"{'V15', 'V9', 'V8'}",1.0
"[('V11', 'V10', {'weight': -1}), ('V11', 'V3', {'weight': 1}), ('V10', 'V11', {'weight': -1}), ('V10', 'V3', {'weight': -1})]",120U,"{'V11', 'V3', 'V10'}",1.0
"[('V3', 'V6', {'weight': -1}), ('V10', 'V3', {'weight': -1}), ('V10', 'V6', {'weight': 1})]",030T,"{'V6', 'V3', 'V10'}",1.0
"[('V9', 'V13', {'weight': 1}), ('V14', 'V13', {'weight': -1}), ('V14', 'V9', {'weight': -1}), ('V13', 'V9', {'weight': 1})]",120D,"{'V9', 'V14', 'V13'}",1.0
"[('V2', 'V3', {'weight': 1}), ('V2', 'V6', {'weight': -1}), ('V3', 'V6', {'weight': -1})]",030T,"{'V6', 'V2', 'V3'}",1.0
"[('V12', 'V3', {'weight': 1}), ('V3', 'V12', {'weight': 1}), ('V2', 'V12', {'weight': 1}), ('V2', 'V3', {'weight': 1})]",120D,"{'V12', 'V3', 'V2'}",1.0
"[('V4', 'V19', {'weight': 1}), ('V4', 'V9', {'weight': 1}), ('V9', 'V19', {'weight': 1}), ('V9', 'V4', {'weight': 1}), ('V19', 'V4', {'weight': 1}), ('V19', 'V9', {'weight': 1})]",300,"{'V4', 'V9', 'V19'}",1.0
"[('V6', 'V12', {'weight': -1}), ('V16', 'V12', {'weight': 1}), ('V16', 'V6', {'weight': -1})]",030T,"{'V6', 'V16', 'V12'}",1.0
"[('V6', 'V12', {'weight': -1}), ('V2', 'V12', {'weight': 1}), ('V2', 'V6', {'weight': -1})]",030T,"{'V6', 'V2', 'V12'}",1.0
"[('V2', 'V5', {'weight': -1}), ('V2', 'V6', {'weight': -1}), ('V5', 'V6', {'weight': -1})]",030T,"{'V6', 'V2', 'V5'}",0.0
"[('V6', 'V8', {'weight': -1}), ('V8', 'V6', {'weight': -1}), ('V5', 'V6', {'weight': -1}), ('V5', 'V8', {'weight': 1})]",120D,"{'V6', 'V8', 'V5'}",1.0
"[('V16', 'V2', {'weight': 1}), ('V16', 'V6', {'weight': -1}), ('V2', 'V16', {'weight': 1}), ('V2', 'V6', {'weight': -1})]",120U,"{'V6', 'V16', 'V2'}",1.0
"[('V12', 'V13', {'weight': -1}), ('V17', 'V12', {'weight': 1}), ('V17', 'V13', {'weight': -1}), ('V13', 'V12', {'weight': -1})]",120D,"{'V12', 'V13', 'V17'}",1.0
"[('V17', 'V13', {'weight': -1}), ('V17', 'V7', {'weight': 1}), ('V7', 'V13', {'weight': -1})]",030T,"{'V13', 'V7', 'V17'}",1.0
"[('V12', 'V13', {'weight': -1}), ('V7', 'V12', {'weight': 1}), ('V7', 'V13', {'weight': -1}), ('V13', 'V12', {'weight': -1})]",120D,"{'V12', 'V7', 'V13'}",1.0
"[('V5', 'V13', {'weight': -1}), ('V5', 'V9', {'weight': -1}), ('V9', 'V13', {'weight': 1}), ('V13', 'V9', {'weight': 1})]",120D,"{'V9', 'V5', 'V13'}",1.0
"[('V7', 'V12', {'weight': 1}), ('V17', 'V12', {'weight': 1}), ('V17', 'V7', {'weight': 1})]",030T,"{'V12', 'V7', 'V17'}",1.0
"[('V12', 'V5', {'weight': 1}), ('V12', 'V9', {'weight': -1}), ('V5', 'V9', {'weight': -1})]",030T,"{'V12', 'V9', 'V5'}",1.0
"[('V12', 'V5', {'weight': 1}), ('V2', 'V12', {'weight': 1}), ('V2', 'V5', {'weight': -1})]",030T,"{'V12', 'V5', 'V2'}",0.0
"[('V16', 'V12', {'weight': 1}), ('V16', 'V2', {'weight': 1}), ('V2', 'V12', {'weight': 1}), ('V2', 'V16', {'weight': 1})]",120U,"{'V12', 'V16', 'V2'}",1.0
"[('V16', 'V12', {'weight': 1}), ('V16', 'V7', {'weight': 1}), ('V7', 'V12', {'weight': 1})]",030T,"{'V12', 'V16', 'V7'}",1.0
"[('V8', 'V9', {'weight': -1}), ('V5', 'V8', {'weight': 1}), ('V5', 'V9', {'weight': -1})]",030T,"{'V9', 'V8', 'V5'}",1.0
"[('V18', 'V8', {'weight': 1}), ('V5', 'V18', {'weight': 1}), ('V5', 'V8', {'weight': 1})]",030T,"{'V8', 'V18', 'V5'}",1.0
