0,1,2,3
"[('V14', 'V15', {'weight': 1}), ('V14', 'V9', {'weight': -1}), ('V15', 'V9', {'weight': -1})]",X,"('V15', 'V14', 'V9')",1
"[('V14', 'V13', {'weight': -1}), ('V14', 'V15', {'weight': 1}), ('V15', 'V13', {'weight': -1})]",X,"('V15', 'V14', 'V13')",1
"[('V6', 'V15', {'weight': -1}), ('V6', 'V16', {'weight': -1}), ('V16', 'V15', {'weight': -1})]",X,"('V15', 'V6', 'V16')",0
"[('V6', 'V15', {'weight': -1}), ('V6', 'V5', {'weight': -1}), ('V15', 'V5', {'weight': 1})]",X,"('V15', 'V6', 'V5')",1
"[('V6', 'V15', {'weight': -1}), ('V6', 'V8', {'weight': -1}), ('V8', 'V15', {'weight': 1})]",X,"('V15', 'V6', 'V8')",1
"[('V9', 'V13', {'weight': 1}), ('V9', 'V15', {'weight': -1}), ('V15', 'V13', {'weight': -1})]",X,"('V15', 'V9', 'V13')",1
"[('V9', 'V15', {'weight': -1}), ('V9', 'V5', {'weight': -1}), ('V15', 'V5', {'weight': 1})]",X,"('V15', 'V9', 'V5')",1
"[('V8', 'V15', {'weight': 1}), ('V8', 'V9', {'weight': -1}), ('V9', 'V15', {'weight': -1})]",X,"('V15', 'V9', 'V8')",1
"[('V5', 'V13', {'weight': -1}), ('V5', 'V15', {'weight': 1}), ('V15', 'V13', {'weight': -1})]",X,"('V15', 'V13', 'V5')",1
"[('V8', 'V15', {'weight': 1}), ('V8', 'V5', {'weight': 1}), ('V15', 'V5', {'weight': 1})]",X,"('V15', 'V5', 'V8')",1
"[('V20', 'V10', {'weight': -1}), ('V20', 'V17', {'weight': -1}), ('V17', 'V10', {'weight': -1})]",X,"('V20', 'V10', 'V17')",0
"[('V4', 'V10', {'weight': 1}), ('V4', 'V9', {'weight': 1}), ('V9', 'V10', {'weight': -1})]",X,"('V4', 'V10', 'V9')",0
"[('V4', 'V19', {'weight': 1}), ('V4', 'V9', {'weight': 1}), ('V9', 'V19', {'weight': 1})]",X,"('V4', 'V9', 'V19')",1
"[('V4', 'V8', {'weight': -1}), ('V4', 'V9', {'weight': 1}), ('V8', 'V9', {'weight': -1})]",X,"('V4', 'V9', 'V8')",1
"[('V11', 'V10', {'weight': -1}), ('V11', 'V17', {'weight': 1}), ('V17', 'V10', {'weight': -1})]",X,"('V10', 'V11', 'V17')",1
"[('V11', 'V10', {'weight': -1}), ('V11', 'V3', {'weight': 1}), ('V3', 'V10', {'weight': -1})]",X,"('V10', 'V11', 'V3')",1
"[('V6', 'V10', {'weight': 1}), ('V6', 'V11', {'weight': -1}), ('V11', 'V10', {'weight': -1})]",X,"('V10', 'V11', 'V6')",1
"[('V9', 'V10', {'weight': -1}), ('V9', 'V14', {'weight': -1}), ('V14', 'V10', {'weight': 1})]",X,"('V10', 'V14', 'V9')",1
"[('V6', 'V10', {'weight': 1}), ('V6', 'V3', {'weight': -1}), ('V3', 'V10', {'weight': -1})]",X,"('V10', 'V3', 'V6')",1
"[('V9', 'V10', {'weight': -1}), ('V9', 'V3', {'weight': -1}), ('V3', 'V10', {'weight': -1})]",X,"('V10', 'V3', 'V9')",0
"[('V13', 'V11', {'weight': -1}), ('V13', 'V17', {'weight': -1}), ('V11', 'V17', {'weight': 1})]",X,"('V11', 'V17', 'V13')",1
"[('V6', 'V11', {'weight': -1}), ('V6', 'V3', {'weight': -1}), ('V11', 'V3', {'weight': 1})]",X,"('V11', 'V3', 'V6')",1
"[('V9', 'V13', {'weight': 1}), ('V9', 'V14', {'weight': -1}), ('V14', 'V13', {'weight': -1})]",X,"('V14', 'V9', 'V13')",1
"[('V12', 'V13', {'weight': -1}), ('V12', 'V17', {'weight': 1}), ('V13', 'V17', {'weight': -1})]",X,"('V17', 'V13', 'V12')",1
"[('V13', 'V17', {'weight': -1}), ('V13', 'V7', {'weight': -1}), ('V7', 'V17', {'weight': 1})]",X,"('V17', 'V13', 'V7')",1
"[('V12', 'V17', {'weight': 1}), ('V12', 'V7', {'weight': 1}), ('V7', 'V17', {'weight': 1})]",X,"('V17', 'V12', 'V7')",1
"[('V6', 'V12', {'weight': -1}), ('V6', 'V3', {'weight': -1}), ('V12', 'V3', {'weight': 1})]",X,"('V3', 'V6', 'V12')",1
"[('V6', 'V2', {'weight': -1}), ('V6', 'V3', {'weight': -1}), ('V2', 'V3', {'weight': 1})]",X,"('V3', 'V6', 'V2')",1
"[('V12', 'V3', {'weight': 1}), ('V12', 'V9', {'weight': -1}), ('V9', 'V3', {'weight': -1})]",X,"('V3', 'V9', 'V12')",1
"[('V12', 'V2', {'weight': 1}), ('V12', 'V3', {'weight': 1}), ('V3', 'V2', {'weight': 1})]",X,"('V3', 'V12', 'V2')",1
"[('V12', 'V3', {'weight': 1}), ('V12', 'V7', {'weight': 1}), ('V3', 'V7', {'weight': 1})]",X,"('V3', 'V12', 'V7')",1
"[('V6', 'V12', {'weight': -1}), ('V6', 'V16', {'weight': -1}), ('V12', 'V16', {'weight': 1})]",X,"('V6', 'V12', 'V16')",1
"[('V6', 'V12', {'weight': -1}), ('V6', 'V2', {'weight': -1}), ('V12', 'V2', {'weight': 1})]",X,"('V6', 'V12', 'V2')",1
"[('V6', 'V12', {'weight': -1}), ('V6', 'V5', {'weight': -1}), ('V12', 'V5', {'weight': 1})]",X,"('V6', 'V12', 'V5')",1
"[('V6', 'V16', {'weight': -1}), ('V6', 'V2', {'weight': -1}), ('V16', 'V2', {'weight': 1})]",X,"('V6', 'V16', 'V2')",1
"[('V6', 'V2', {'weight': -1}), ('V6', 'V5', {'weight': -1}), ('V2', 'V5', {'weight': -1})]",X,"('V6', 'V2', 'V5')",0
"[('V6', 'V5', {'weight': -1}), ('V6', 'V8', {'weight': -1}), ('V8', 'V5', {'weight': 1})]",X,"('V6', 'V5', 'V8')",1
"[('V12', 'V13', {'weight': -1}), ('V12', 'V9', {'weight': -1}), ('V9', 'V13', {'weight': 1})]",X,"('V9', 'V13', 'V12')",1
"[('V5', 'V13', {'weight': -1}), ('V5', 'V9', {'weight': -1}), ('V9', 'V13', {'weight': 1})]",X,"('V9', 'V13', 'V5')",1
"[('V9', 'V13', {'weight': 1}), ('V9', 'V19', {'weight': 1}), ('V13', 'V19', {'weight': 1})]",X,"('V9', 'V13', 'V19')",1
"[('V12', 'V5', {'weight': 1}), ('V12', 'V9', {'weight': -1}), ('V9', 'V5', {'weight': -1})]",X,"('V9', 'V12', 'V5')",1
"[('V9', 'V5', {'weight': -1}), ('V9', 'V8', {'weight': -1}), ('V8', 'V5', {'weight': 1})]",X,"('V9', 'V5', 'V8')",1
"[('V12', 'V13', {'weight': -1}), ('V12', 'V5', {'weight': 1}), ('V5', 'V13', {'weight': -1})]",X,"('V13', 'V12', 'V5')",1
"[('V12', 'V13', {'weight': -1}), ('V12', 'V7', {'weight': 1}), ('V7', 'V13', {'weight': -1})]",X,"('V13', 'V12', 'V7')",1
"[('V16', 'V12', {'weight': 1}), ('V16', 'V2', {'weight': 1}), ('V12', 'V2', {'weight': 1})]",X,"('V12', 'V16', 'V2')",1
"[('V16', 'V12', {'weight': 1}), ('V16', 'V7', {'weight': 1}), ('V12', 'V7', {'weight': 1})]",X,"('V12', 'V16', 'V7')",1
"[('V12', 'V2', {'weight': 1}), ('V12', 'V5', {'weight': 1}), ('V5', 'V2', {'weight': -1})]",X,"('V12', 'V2', 'V5')",0
"[('V8', 'V18', {'weight': 1}), ('V8', 'V5', {'weight': 1}), ('V18', 'V5', {'weight': 1})]",X,"('V5', 'V8', 'V18')",1
