0,1,2,3
"[(1, 2, {'Sign': 1}), (1, 3, {'Sign': -1}), (2, 1, {'Sign': 1}), (2, 3, {'Sign': -1}), (3, 1, {'Sign': -1}), (3, 2, {'Sign': -1})]",300,"{1, 2, 3}",1.0
"[(1, 2, {'Sign': 1}), (1, 5, {'Sign': -1}), (2, 1, {'Sign': 1}), (2, 5, {'Sign': -1}), (5, 1, {'Sign': -1}), (5, 2, {'Sign': -1})]",300,"{1, 2, 5}",1.0
"[(1, 2, {'Sign': 1}), (1, 6, {'Sign': -1}), (2, 1, {'Sign': 1}), (2, 6, {'Sign': -1}), (6, 1, {'Sign': -1}), (6, 2, {'Sign': -1})]",300,"{1, 2, 6}",1.0
"[(1, 2, {'Sign': 1}), (1, 15, {'Sign': 1}), (2, 1, {'Sign': 1}), (2, 15, {'Sign': 1}), (15, 1, {'Sign': 1}), (15, 2, {'Sign': 1})]",300,"{1, 2, 15}",1.0
"[(16, 1, {'Sign': 1}), (16, 2, {'Sign': 1}), (1, 2, {'Sign': 1}), (1, 16, {'Sign': 1}), (2, 1, {'Sign': 1}), (2, 16, {'Sign': 1})]",300,"{16, 1, 2}",1.0
"[(1, 3, {'Sign': -1}), (1, 4, {'Sign': -1}), (3, 1, {'Sign': -1}), (3, 4, {'Sign': 1}), (4, 1, {'Sign': -1}), (4, 3, {'Sign': 1})]",300,"{1, 3, 4}",1.0
"[(1, 3, {'Sign': -1}), (1, 6, {'Sign': -1}), (3, 1, {'Sign': -1}), (3, 6, {'Sign': 1}), (6, 1, {'Sign': -1}), (6, 3, {'Sign': 1})]",300,"{1, 3, 6}",1.0
"[(1, 5, {'Sign': -1}), (1, 15, {'Sign': 1}), (5, 1, {'Sign': -1}), (5, 15, {'Sign': -1}), (15, 1, {'Sign': 1}), (15, 5, {'Sign': -1})]",300,"{1, 5, 15}",1.0
"[(16, 1, {'Sign': 1}), (16, 5, {'Sign': -1}), (1, 5, {'Sign': -1}), (1, 16, {'Sign': 1}), (5, 1, {'Sign': -1}), (5, 16, {'Sign': -1})]",300,"{16, 1, 5}",1.0
"[(1, 6, {'Sign': -1}), (1, 12, {'Sign': -1}), (12, 1, {'Sign': -1}), (12, 6, {'Sign': 1}), (6, 1, {'Sign': -1}), (6, 12, {'Sign': 1})]",300,"{1, 12, 6}",1.0
"[(16, 1, {'Sign': 1}), (16, 6, {'Sign': -1}), (1, 6, {'Sign': -1}), (1, 16, {'Sign': 1}), (6, 1, {'Sign': -1}), (6, 16, {'Sign': -1})]",300,"{16, 1, 6}",1.0
"[(1, 12, {'Sign': -1}), (1, 15, {'Sign': 1}), (12, 1, {'Sign': -1}), (12, 15, {'Sign': -1}), (15, 1, {'Sign': 1}), (15, 12, {'Sign': -1})]",300,"{1, 12, 15}",1.0
"[(16, 1, {'Sign': 1}), (16, 12, {'Sign': -1}), (1, 12, {'Sign': -1}), (1, 16, {'Sign': 1}), (12, 1, {'Sign': -1}), (12, 16, {'Sign': -1})]",300,"{16, 1, 12}",1.0
"[(16, 1, {'Sign': 1}), (16, 15, {'Sign': 1}), (1, 15, {'Sign': 1}), (1, 16, {'Sign': 1}), (15, 1, {'Sign': 1}), (15, 16, {'Sign': 1})]",300,"{16, 1, 15}",1.0
"[(2, 3, {'Sign': -1}), (2, 6, {'Sign': -1}), (3, 2, {'Sign': -1}), (3, 6, {'Sign': 1}), (6, 2, {'Sign': -1}), (6, 3, {'Sign': 1})]",300,"{2, 3, 6}",1.0
"[(2, 5, {'Sign': -1}), (2, 15, {'Sign': 1}), (5, 2, {'Sign': -1}), (5, 15, {'Sign': -1}), (15, 2, {'Sign': 1}), (15, 5, {'Sign': -1})]",300,"{2, 5, 15}",1.0
"[(16, 2, {'Sign': 1}), (16, 5, {'Sign': -1}), (2, 5, {'Sign': -1}), (2, 16, {'Sign': 1}), (5, 2, {'Sign': -1}), (5, 16, {'Sign': -1})]",300,"{16, 2, 5}",1.0
"[(9, 2, {'Sign': -1}), (9, 5, {'Sign': 1}), (2, 5, {'Sign': -1}), (2, 9, {'Sign': -1}), (5, 2, {'Sign': -1}), (5, 9, {'Sign': 1})]",300,"{9, 2, 5}",1.0
"[(16, 2, {'Sign': 1}), (16, 6, {'Sign': -1}), (2, 6, {'Sign': -1}), (2, 16, {'Sign': 1}), (6, 2, {'Sign': -1}), (6, 16, {'Sign': -1})]",300,"{16, 2, 6}",1.0
"[(9, 2, {'Sign': -1}), (9, 6, {'Sign': -1}), (2, 6, {'Sign': -1}), (2, 9, {'Sign': -1}), (6, 2, {'Sign': -1}), (6, 9, {'Sign': -1})]",300,"{9, 2, 6}",0.0
"[(16, 2, {'Sign': 1}), (16, 15, {'Sign': 1}), (2, 15, {'Sign': 1}), (2, 16, {'Sign': 1}), (15, 2, {'Sign': 1}), (15, 16, {'Sign': 1})]",300,"{16, 2, 15}",1.0
"[(9, 2, {'Sign': -1}), (9, 15, {'Sign': -1}), (2, 9, {'Sign': -1}), (2, 15, {'Sign': 1}), (15, 2, {'Sign': 1}), (15, 9, {'Sign': -1})]",300,"{9, 2, 15}",1.0
"[(2, 10, {'Sign': -1}), (2, 15, {'Sign': 1}), (10, 2, {'Sign': -1}), (10, 15, {'Sign': -1}), (15, 2, {'Sign': 1}), (15, 10, {'Sign': -1})]",300,"{2, 10, 15}",1.0
"[(9, 2, {'Sign': -1}), (9, 10, {'Sign': 1}), (2, 9, {'Sign': -1}), (2, 10, {'Sign': -1}), (10, 2, {'Sign': -1}), (10, 9, {'Sign': 1})]",300,"{9, 2, 10}",1.0
"[(8, 3, {'Sign': 1}), (8, 4, {'Sign': 1}), (3, 4, {'Sign': 1}), (3, 8, {'Sign': 1}), (4, 3, {'Sign': 1}), (4, 8, {'Sign': 1})]",300,"{8, 3, 4}",1.0
"[(3, 6, {'Sign': 1}), (3, 7, {'Sign': 1}), (6, 3, {'Sign': 1}), (6, 7, {'Sign': 1}), (7, 3, {'Sign': 1}), (7, 6, {'Sign': 1})]",300,"{3, 6, 7}",1.0
"[(8, 3, {'Sign': 1}), (8, 6, {'Sign': 1}), (3, 6, {'Sign': 1}), (3, 8, {'Sign': 1}), (6, 3, {'Sign': 1}), (6, 8, {'Sign': 1})]",300,"{8, 3, 6}",1.0
"[(8, 3, {'Sign': 1}), (8, 7, {'Sign': 1}), (3, 7, {'Sign': 1}), (3, 8, {'Sign': 1}), (7, 3, {'Sign': 1}), (7, 8, {'Sign': 1})]",300,"{8, 3, 7}",1.0
"[(16, 5, {'Sign': -1}), (16, 15, {'Sign': 1}), (5, 15, {'Sign': -1}), (5, 16, {'Sign': -1}), (15, 5, {'Sign': -1}), (15, 16, {'Sign': 1})]",300,"{16, 5, 15}",1.0
"[(9, 5, {'Sign': 1}), (9, 15, {'Sign': -1}), (5, 9, {'Sign': 1}), (5, 15, {'Sign': -1}), (15, 5, {'Sign': -1}), (15, 9, {'Sign': -1})]",300,"{9, 5, 15}",1.0
"[(16, 5, {'Sign': -1}), (16, 14, {'Sign': -1}), (5, 14, {'Sign': 1}), (5, 16, {'Sign': -1}), (14, 5, {'Sign': 1}), (14, 16, {'Sign': -1})]",300,"{16, 5, 14}",1.0
"[(16, 6, {'Sign': -1}), (16, 12, {'Sign': -1}), (12, 6, {'Sign': 1}), (12, 16, {'Sign': -1}), (6, 12, {'Sign': 1}), (6, 16, {'Sign': -1})]",300,"{16, 12, 6}",1.0
"[(12, 6, {'Sign': 1}), (12, 7, {'Sign': 1}), (6, 7, {'Sign': 1}), (6, 12, {'Sign': 1}), (7, 6, {'Sign': 1}), (7, 12, {'Sign': 1})]",300,"{12, 6, 7}",1.0
"[(8, 6, {'Sign': 1}), (8, 12, {'Sign': 1}), (12, 6, {'Sign': 1}), (12, 8, {'Sign': 1}), (6, 8, {'Sign': 1}), (6, 12, {'Sign': 1})]",300,"{8, 12, 6}",1.0
"[(11, 6, {'Sign': 1}), (11, 12, {'Sign': 1}), (12, 6, {'Sign': 1}), (12, 11, {'Sign': 1}), (6, 11, {'Sign': 1}), (6, 12, {'Sign': 1})]",300,"{11, 12, 6}",1.0
"[(16, 6, {'Sign': -1}), (16, 11, {'Sign': -1}), (11, 6, {'Sign': 1}), (11, 16, {'Sign': -1}), (6, 11, {'Sign': 1}), (6, 16, {'Sign': -1})]",300,"{16, 11, 6}",1.0
"[(16, 6, {'Sign': -1}), (16, 13, {'Sign': -1}), (13, 6, {'Sign': -1}), (13, 16, {'Sign': -1}), (6, 13, {'Sign': -1}), (6, 16, {'Sign': -1})]",300,"{16, 13, 6}",0.0
"[(9, 6, {'Sign': -1}), (9, 11, {'Sign': -1}), (11, 6, {'Sign': 1}), (11, 9, {'Sign': -1}), (6, 9, {'Sign': -1}), (6, 11, {'Sign': 1})]",300,"{9, 11, 6}",1.0
"[(9, 6, {'Sign': -1}), (9, 13, {'Sign': 1}), (13, 6, {'Sign': -1}), (13, 9, {'Sign': 1}), (6, 9, {'Sign': -1}), (6, 13, {'Sign': -1})]",300,"{9, 13, 6}",1.0
"[(8, 6, {'Sign': 1}), (8, 7, {'Sign': 1}), (6, 7, {'Sign': 1}), (6, 8, {'Sign': 1}), (7, 6, {'Sign': 1}), (7, 8, {'Sign': 1})]",300,"{8, 6, 7}",1.0
"[(11, 6, {'Sign': 1}), (11, 7, {'Sign': 1}), (6, 7, {'Sign': 1}), (6, 11, {'Sign': 1}), (7, 6, {'Sign': 1}), (7, 11, {'Sign': 1})]",300,"{11, 6, 7}",1.0
"[(13, 6, {'Sign': -1}), (13, 7, {'Sign': 1}), (6, 7, {'Sign': 1}), (6, 13, {'Sign': -1}), (7, 6, {'Sign': 1}), (7, 13, {'Sign': 1})]",300,"{13, 6, 7}",0.0
"[(8, 6, {'Sign': 1}), (8, 11, {'Sign': 1}), (11, 6, {'Sign': 1}), (11, 8, {'Sign': 1}), (6, 8, {'Sign': 1}), (6, 11, {'Sign': 1})]",300,"{8, 11, 6}",1.0
"[(11, 6, {'Sign': 1}), (11, 13, {'Sign': -1}), (13, 6, {'Sign': -1}), (13, 11, {'Sign': -1}), (6, 11, {'Sign': 1}), (6, 13, {'Sign': -1})]",300,"{11, 13, 6}",1.0
"[(16, 12, {'Sign': -1}), (16, 15, {'Sign': 1}), (12, 15, {'Sign': -1}), (12, 16, {'Sign': -1}), (15, 12, {'Sign': -1}), (15, 16, {'Sign': 1})]",300,"{16, 12, 15}",1.0
"[(11, 12, {'Sign': 1}), (11, 15, {'Sign': -1}), (12, 11, {'Sign': 1}), (12, 15, {'Sign': -1}), (15, 11, {'Sign': -1}), (15, 12, {'Sign': -1})]",300,"{11, 12, 15}",1.0
"[(16, 12, {'Sign': -1}), (16, 14, {'Sign': -1}), (12, 14, {'Sign': -1}), (12, 16, {'Sign': -1}), (14, 12, {'Sign': -1}), (14, 16, {'Sign': -1})]",300,"{16, 12, 14}",0.0
"[(16, 11, {'Sign': -1}), (16, 12, {'Sign': -1}), (11, 12, {'Sign': 1}), (11, 16, {'Sign': -1}), (12, 11, {'Sign': 1}), (12, 16, {'Sign': -1})]",300,"{16, 11, 12}",1.0
"[(8, 7, {'Sign': 1}), (8, 12, {'Sign': 1}), (12, 7, {'Sign': 1}), (12, 8, {'Sign': 1}), (7, 8, {'Sign': 1}), (7, 12, {'Sign': 1})]",300,"{8, 12, 7}",1.0
"[(11, 7, {'Sign': 1}), (11, 12, {'Sign': 1}), (12, 7, {'Sign': 1}), (12, 11, {'Sign': 1}), (7, 11, {'Sign': 1}), (7, 12, {'Sign': 1})]",300,"{11, 12, 7}",1.0
"[(8, 12, {'Sign': 1}), (8, 14, {'Sign': -1}), (12, 8, {'Sign': 1}), (12, 14, {'Sign': -1}), (14, 8, {'Sign': -1}), (14, 12, {'Sign': -1})]",300,"{8, 12, 14}",1.0
"[(8, 11, {'Sign': 1}), (8, 12, {'Sign': 1}), (11, 8, {'Sign': 1}), (11, 12, {'Sign': 1}), (12, 8, {'Sign': 1}), (12, 11, {'Sign': 1})]",300,"{8, 11, 12}",1.0
"[(16, 11, {'Sign': -1}), (16, 15, {'Sign': 1}), (11, 15, {'Sign': -1}), (11, 16, {'Sign': -1}), (15, 11, {'Sign': -1}), (15, 16, {'Sign': 1})]",300,"{16, 11, 15}",1.0
"[(16, 13, {'Sign': -1}), (16, 15, {'Sign': 1}), (13, 15, {'Sign': -1}), (13, 16, {'Sign': -1}), (15, 13, {'Sign': -1}), (15, 16, {'Sign': 1})]",300,"{16, 13, 15}",1.0
"[(9, 10, {'Sign': 1}), (9, 15, {'Sign': -1}), (10, 9, {'Sign': 1}), (10, 15, {'Sign': -1}), (15, 9, {'Sign': -1}), (15, 10, {'Sign': -1})]",300,"{9, 10, 15}",1.0
"[(9, 11, {'Sign': -1}), (9, 15, {'Sign': -1}), (11, 9, {'Sign': -1}), (11, 15, {'Sign': -1}), (15, 9, {'Sign': -1}), (15, 11, {'Sign': -1})]",300,"{9, 11, 15}",0.0
"[(9, 13, {'Sign': 1}), (9, 15, {'Sign': -1}), (13, 9, {'Sign': 1}), (13, 15, {'Sign': -1}), (15, 9, {'Sign': -1}), (15, 13, {'Sign': -1})]",300,"{9, 13, 15}",1.0
"[(10, 11, {'Sign': -1}), (10, 15, {'Sign': -1}), (11, 10, {'Sign': -1}), (11, 15, {'Sign': -1}), (15, 10, {'Sign': -1}), (15, 11, {'Sign': -1})]",300,"{10, 11, 15}",0.0
"[(10, 13, {'Sign': 1}), (10, 15, {'Sign': -1}), (13, 10, {'Sign': 1}), (13, 15, {'Sign': -1}), (15, 10, {'Sign': -1}), (15, 13, {'Sign': -1})]",300,"{10, 13, 15}",1.0
"[(11, 13, {'Sign': -1}), (11, 15, {'Sign': -1}), (13, 11, {'Sign': -1}), (13, 15, {'Sign': -1}), (15, 11, {'Sign': -1}), (15, 13, {'Sign': -1})]",300,"{11, 13, 15}",0.0
"[(16, 13, {'Sign': -1}), (16, 14, {'Sign': -1}), (13, 14, {'Sign': 1}), (13, 16, {'Sign': -1}), (14, 13, {'Sign': 1}), (14, 16, {'Sign': -1})]",300,"{16, 13, 14}",1.0
"[(16, 11, {'Sign': -1}), (16, 13, {'Sign': -1}), (11, 13, {'Sign': -1}), (11, 16, {'Sign': -1}), (13, 11, {'Sign': -1}), (13, 16, {'Sign': -1})]",300,"{16, 11, 13}",0.0
"[(9, 10, {'Sign': 1}), (9, 11, {'Sign': -1}), (10, 9, {'Sign': 1}), (10, 11, {'Sign': -1}), (11, 9, {'Sign': -1}), (11, 10, {'Sign': -1})]",300,"{9, 10, 11}",1.0
"[(9, 10, {'Sign': 1}), (9, 13, {'Sign': 1}), (10, 9, {'Sign': 1}), (10, 13, {'Sign': 1}), (13, 9, {'Sign': 1}), (13, 10, {'Sign': 1})]",300,"{9, 10, 13}",1.0
"[(9, 11, {'Sign': -1}), (9, 13, {'Sign': 1}), (11, 9, {'Sign': -1}), (11, 13, {'Sign': -1}), (13, 9, {'Sign': 1}), (13, 11, {'Sign': -1})]",300,"{9, 11, 13}",1.0
"[(10, 11, {'Sign': -1}), (10, 13, {'Sign': 1}), (11, 10, {'Sign': -1}), (11, 13, {'Sign': -1}), (13, 10, {'Sign': 1}), (13, 11, {'Sign': -1})]",300,"{10, 11, 13}",1.0
"[(8, 7, {'Sign': 1}), (8, 11, {'Sign': 1}), (11, 7, {'Sign': 1}), (11, 8, {'Sign': 1}), (7, 8, {'Sign': 1}), (7, 11, {'Sign': 1})]",300,"{8, 11, 7}",1.0
"[(11, 7, {'Sign': 1}), (11, 13, {'Sign': -1}), (13, 7, {'Sign': 1}), (13, 11, {'Sign': -1}), (7, 11, {'Sign': 1}), (7, 13, {'Sign': 1})]",300,"{11, 13, 7}",0.0
